best m,c is 1.570000,10.940000 with error 16.009005 in direction 0
best m,c is 1.570000,10.950000 with error 16.005285 in direction 0
best m,c is 1.570000,10.960000 with error 16.001569 in direction 0
best m,c is 1.570000,10.970000 with error 15.997859 in direction 0
best m,c is 1.570000,10.980000 with error 15.994154 in direction 0
best m,c is 1.570000,10.990000 with error 15.990455 in direction 0
best m,c is 1.570000,11.000000 with error 15.986761 in direction 0
best m,c is 1.570000,11.010000 with error 15.983072 in direction 0
best m,c is 1.570000,11.020000 with error 15.979389 in direction 0
best m,c is 1.570000,11.030000 with error 15.975711 in direction 0
best m,c is 1.570000,11.040000 with error 15.972039 in direction 0
best m,c is 1.570000,11.050000 with error 15.968372 in direction 0
best m,c is 1.570000,11.060000 with error 15.964711 in direction 0
best m,c is 1.570000,11.070000 with error 15.961055 in direction 0
best m,c is 1.570000,11.080000 with error 15.957404 in direction 0
best m,c is 1.570000,11.090000 with error 15.953759 in direction 0
best m,c is 1.570000,11.100000 with error 15.950119 in direction 0
best m,c is 1.570000,11.110000 with error 15.946485 in direction 0
best m,c is 1.570000,11.120000 with error 15.942856 in direction 0
best m,c is 1.570000,11.130000 with error 15.939232 in direction 0
best m,c is 1.570000,11.140000 with error 15.935614 in direction 0
best m,c is 1.570000,11.150000 with error 15.932002 in direction 0
best m,c is 1.570000,11.160000 with error 15.928395 in direction 0
best m,c is 1.570000,11.170000 with error 15.924793 in direction 0
best m,c is 1.570000,11.180000 with error 15.921197 in direction 0
best m,c is 1.570000,11.190000 with error 15.917606 in direction 0
best m,c is 1.570000,11.200000 with error 15.914021 in direction 0
best m,c is 1.570000,11.210000 with error 15.910442 in direction 0
best m,c is 1.570000,11.220000 with error 15.906867 in direction 0
best m,c is 1.570000,11.230000 with error 15.903299 in direction 0
best m,c is 1.570000,11.240000 with error 15.899735 in direction 0
best m,c is 1.570000,11.250000 with error 15.896178 in direction 0
best m,c is 1.570000,11.260000 with error 15.892625 in direction 0
best m,c is 1.570000,11.270000 with error 15.889079 in direction 0
best m,c is 1.570000,11.280000 with error 15.885537 in direction 0
best m,c is 1.570000,11.290000 with error 15.882002 in direction 0
best m,c is 1.570000,11.300000 with error 15.878471 in direction 0
best m,c is 1.570000,11.310000 with error 15.874947 in direction 0
best m,c is 1.570000,11.320000 with error 15.871427 in direction 0
best m,c is 1.570000,11.330000 with error 15.867914 in direction 0
best m,c is 1.570000,11.340000 with error 15.864405 in direction 0
best m,c is 1.560000,11.350000 with error 15.860750 in direction 7
best m,c is 1.560000,11.360000 with error 15.856931 in direction 0
best m,c is 1.560000,11.370000 with error 15.853117 in direction 0
best m,c is 1.560000,11.380000 with error 15.849309 in direction 0
best m,c is 1.560000,11.390000 with error 15.845506 in direction 0
best m,c is 1.560000,11.400000 with error 15.841709 in direction 0
best m,c is 1.560000,11.410000 with error 15.837917 in direction 0
best m,c is 1.560000,11.420000 with error 15.834130 in direction 0
best m,c is 1.560000,11.430000 with error 15.830349 in direction 0
best m,c is 1.560000,11.440000 with error 15.826573 in direction 0
best m,c is 1.560000,11.450000 with error 15.822802 in direction 0
best m,c is 1.560000,11.460000 with error 15.819037 in direction 0
best m,c is 1.560000,11.470000 with error 15.815278 in direction 0
best m,c is 1.560000,11.480000 with error 15.811524 in direction 0
best m,c is 1.560000,11.490000 with error 15.807775 in direction 0
best m,c is 1.560000,11.500000 with error 15.804032 in direction 0
best m,c is 1.560000,11.510000 with error 15.800294 in direction 0
best m,c is 1.560000,11.520000 with error 15.796562 in direction 0
best m,c is 1.560000,11.530000 with error 15.792835 in direction 0
best m,c is 1.560000,11.540000 with error 15.789113 in direction 0
best m,c is 1.560000,11.550000 with error 15.785397 in direction 0
best m,c is 1.560000,11.560000 with error 15.781687 in direction 0
best m,c is 1.560000,11.570000 with error 15.777982 in direction 0
best m,c is 1.560000,11.580000 with error 15.774282 in direction 0
best m,c is 1.560000,11.590000 with error 15.770588 in direction 0
